GazeX,GazeY,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,HeadRoll,rx,ry,rw,rh,state,time,FrameNr,Xview,Yview,docX,docY
679.8,448,-0.2,-3.9,78.1,2.7,2,-1.8,218,136,218,218,0,1591384478406,1460,0.4976573938506588,0.5173453996983409,679.8,343
845.8,522,1.2,-3.7,78.6,2.3,-1.1,-1.2,234,142,218,218,0,1591384478493,1461,0.6191800878477306,0.6289592760180995,845.8,417
1009.8,583.2,2.4,-3.3,79.3,2.6,-0.2,-0.4,247,147,214,214,0,1591384478593,1462,0.7392386530014641,0.721266968325792,1009.8,478.20000000000005
1057.2,621.4,3.1,-3.1,79.9,2.6,-2.1,0.6,247,147,214,214,0,1591384478676,1463,0.7739385065885799,0.7788838612368024,1057.2,516.4
875.8,540.2,3.7,-3,81,2.2,-3.3,1,264,152,209,209,0,1591384478767,1464,0.6411420204978038,0.6564102564102565,875.8,435.20000000000005
618.8,430.6,4.2,-3,82.6,2.2,-4,0.5,264,152,209,209,0,1591384478847,1465,0.4530014641288433,0.4911010558069382,618.8,325.6
608.2,422,4.5,-3,83,2.4,-4.6,0.2,264,152,209,209,0,1591384478942,1466,0.44524158125915086,0.4781297134238311,608.2,317
611.8,407.6,4.6,-3,83,2.5,-5.3,0,264,152,209,209,0,1591384479025,1467,0.44787701317715956,0.45641025641025645,611.8,302.6
619.4,408,4.6,-3.1,83,2.5,-5.2,-0.3,264,152,209,209,0,1591384479118,1468,0.4534407027818448,0.45701357466063347,619.4,303
628.8,406,4.5,-3.1,82.8,2.5,-5.1,0.1,264,152,209,209,-1,1591384479191,0,0.4603221083455344,0.4539969834087481,628.8,301
